iter	Passed	Remaining
423	2244	3049
424	2250	3044
425	2256	3040
426	2263	3037
427	2269	3033
428	2275	3028
429	2281	3023
430	2288	3020
431	2298	3022
432	2308	3022
433	2317	3022
434	2325	3020
435	2331	3015
436	2339	3013
437	2345	3009
438	2350	3004
439	2356	2999
440	2361	2993
441	2366	2987
442	2371	2981
443	2376	2975
444	2381	2969
445	2385	2963
446	2390	2957
447	2396	2952
448	2400	2946
449	2405	2940
450	2410	2934
451	2415	2928
452	2420	2922
453	2426	2918
454	2431	2912
455	2436	2907
456	2441	2901
457	2446	2895
458	2451	2889
459	2456	2883
460	2461	2878
461	2466	2872
462	2472	2867
463	2477	2862
464	2482	2856
465	2487	2850
466	2492	2844
467	2497	2839
468	2502	2833
469	2507	2827
470	2513	2822
471	2518	2816
472	2523	2811
473	2528	2805
474	2533	2800
475	2538	2794
476	2544	2789
477	2548	2783
478	2554	2778
479	2559	2772
480	2564	2766
481	2569	2761
482	2574	2755
483	2580	2750
484	2585	2745
485	2590	2740
486	2596	2734
487	2601	2729
488	2606	2724
489	2611	2718
490	2617	2713
491	2622	2707
492	2627	2702
493	2632	2696
494	2638	2691
495	2643	2686
496	2649	2681
497	2654	2676
498	2660	2671
499	2665	2665
500	2670	2660
501	2675	2654
502	2681	2649
503	2686	2644
504	2692	2639
505	2697	2633
506	2702	2628
507	2708	2623
508	2714	2618
509	2720	2613
510	2725	2608
511	2731	2603
512	2736	2597
513	2741	2592
514	2747	2587
515	2753	2582
516	2758	2576
517	2763	2571
518	2769	2567
519	2775	2562
520	2781	2556
521	2786	2551
522	2792	2546
523	2797	2541
524	2802	2535
525	2808	2530
526	2813	2525
527	2818	2519
528	2823	2514
529	2828	2508
530	2834	2503
531	2839	2497
532	2844	2492
533	2849	2487
534	2855	2481
535	2860	2476
536	2865	2470
537	2871	2465
538	2877	2461
539	2883	2456
540	2888	2450
541	2893	2445
542	2898	2439
543	2903	2434
544	2909	2428
545	2914	2423
546	2919	2417
547	2924	2412
548	2930	2407
549	2935	2401
550	2940	2396
551	2945	2390
552	2951	2385
553	2956	2379
554	2961	2374
555	2967	2370
556	2972	2364
557	2978	2359
558	2984	2354
559	2989	2348
560	2994	2343
561	2999	2337
562	3004	2332
563	3009	2326
564	3015	2321
565	3020	2316
566	3025	2310
567	3031	2305
568	3036	2300
569	3041	2294
570	3047	2289
571	3051	2283
572	3056	2278
573	3062	2272
574	3067	2267
575	3073	2262
576	3078	2256
577	3083	2251
578	3088	2246
579	3094	2240
580	3099	2235
581	3104	2229
582	3110	2224
583	3115	2219
584	3120	2213
585	3125	2208
586	3131	2203
587	3136	2197
588	3142	2192
589	3147	2187
590	3152	2181
591	3157	2176
592	3163	2171
593	3168	2165
594	3173	2160
595	3178	2154
596	3184	2149
597	3189	2144
598	3194	2138
599	3200	2133
600	3205	2128
601	3211	2122
602	3216	2117
603	3221	2112
604	3226	2106
605	3232	2101
606	3237	2096
607	3242	2090
608	3247	2085
609	3253	2079
610	3258	2074
611	3265	2070
612	3271	2065
613	3276	2059
614	3281	2054
615	3287	2049
616	3292	2043
617	3297	2038
618	3303	2033
619	3308	2027
620	3313	2022
621	3319	2017
622	3325	2012
623	3331	2007
624	3337	2002
625	3342	1997
626	3348	1992
627	3354	1986
628	3360	1981
629	3365	1976
630	3372	1972
631	3380	1968
632	3394	1968
633	3405	1965
634	3413	1962
635	3419	1957
636	3428	1953
637	3435	1949
638	3441	1944
639	3448	1939
640	3454	1934
641	3460	1929
642	3466	1924
643	3471	1919
644	3477	1914
645	3482	1908
646	3488	1903
647	3494	1898
648	3499	1892
649	3505	1887
650	3511	1882
651	3516	1877
652	3522	1871
653	3527	1866
654	3533	1861
655	3538	1855
656	3544	1850
657	3549	1844
658	3554	1839
659	3559	1833
660	3565	1828
661	3570	1823
662	3575	1817
663	3581	1812
664	3586	1806
665	3591	1801
666	3596	1795
667	3602	1790
668	3607	1785
669	3613	1779
670	3618	1774
671	3624	1769
672	3629	1763
673	3634	1758
674	3640	1752
675	3645	1747
676	3650	1741
677	3656	1736
678	3662	1731
679	3668	1726
680	3673	1720
681	3678	1715
682	3683	1709
683	3689	1704
684	3694	1698
685	3700	1693
686	3706	1688
687	3711	1683
688	3716	1677
689	3722	1672
690	3727	1666
691	3732	1661
692	3737	1655
693	3743	1650
694	3750	1645
695	3755	1640
696	3760	1634
697	3766	1629
698	3771	1624
699	3776	1618
700	3782	1613
701	3787	1607
702	3792	1602
703	3797	1596
704	3803	1591
705	3808	1586
706	3813	1580
707	3819	1575
708	3824	1569
709	3829	1564
710	3834	1558
711	3840	1553
712	3845	1547
713	3850	1542
714	3855	1537
715	3861	1531
716	3866	1526
717	3872	1520
718	3877	1515
719	3882	1509
720	3887	1504
721	3893	1499
722	3898	1493
723	3903	1488
724	3909	1482
725	3914	1477
726	3919	1471
727	3925	1466
728	3930	1461
729	3935	1455
730	3940	1450
731	3945	1444
732	3951	1439
733	3956	1433
734	3962	1428
735	3967	1423
736	3972	1417
737	3978	1412
738	3983	1406
739	3989	1401
740	3994	1396
741	3999	1390
742	4005	1385
743	4010	1379
744	4015	1374
745	4020	1369
746	4026	1363
747	4031	1358
748	4037	1352
749	4042	1347
750	4048	1342
751	4053	1336
752	4058	1331
753	4064	1325
754	4069	1320
755	4074	1315
756	4080	1309
757	4086	1304
758	4091	1299
759	4096	1293
760	4102	1288
761	4107	1283
762	4112	1277
763	4118	1272
764	4123	1266
765	4129	1261
766	4134	1255
767	4139	1250
768	4145	1245
769	4150	1239
770	4155	1234
771	4160	1228
772	4166	1223
773	4171	1218
774	4177	1212
775	4183	1207
776	4188	1202
777	4194	1196
778	4199	1191
779	4204	1185
780	4209	1180
781	4215	1175
782	4220	1169
783	4226	1164
784	4231	1158
785	4236	1153
786	4241	1148
787	4247	1142
788	4252	1137
789	4257	1131
790	4263	1126
791	4268	1121
792	4274	1115
793	4279	1110
794	4284	1104
795	4290	1099
796	4294	1093
797	4300	1088
798	4305	1083
799	4311	1077
800	4316	1072
801	4321	1066
802	4327	1061
803	4332	1056
804	4337	1050
805	4342	1045
806	4348	1039
807	4353	1034
808	4358	1029
809	4364	1023
810	4369	1018
811	4374	1012
812	4380	1007
813	4386	1002
814	4392	997
815	4398	991
816	4404	986
817	4409	981
818	4415	975
819	4421	970
820	4427	965
821	4433	959
822	4439	954
823	4446	949
824	4451	944
825	4457	938
826	4463	933
827	4468	928
828	4473	922
829	4479	917
830	4484	912
831	4489	906
832	4495	901
833	4500	895
834	4506	890
835	4516	885
836	4525	881
837	4538	877
838	4547	872
839	4552	867
840	4560	862
841	4567	857
842	4572	851
843	4578	846
844	4584	840
845	4590	835
846	4596	830
847	4601	824
848	4607	819
849	4613	814
850	4619	808
851	4624	803
852	4630	797
853	4635	792
854	4641	787
855	4647	781
856	4653	776
857	4659	771
858	4665	765
859	4671	760
860	4676	754
861	4681	749
862	4687	744
863	4692	738
864	4697	733
865	4703	727
866	4709	722
867	4715	717
868	4721	711
869	4726	706
870	4731	700
871	4736	695
872	4742	689
873	4747	684
874	4753	679
875	4758	673
876	4763	668
877	4769	662
878	4774	657
879	4780	651
880	4785	646
881	4790	640
882	4796	635
883	4801	630
884	4807	624
885	4812	619
886	4818	613
887	4823	608
888	4828	602
889	4834	597
890	4840	592
891	4846	586
892	4851	581
893	4856	575
894	4862	570
895	4867	564
896	4872	559
897	4878	554
898	4883	548
899	4889	543
900	4894	537
901	4900	532
902	4905	526
903	4911	521
904	4917	516
905	4922	510
906	4928	505
907	4933	499
908	4939	494
909	4944	488
910	4949	483
911	4954	478
912	4959	472
913	4965	467
914	4970	461
915	4976	456
916	4981	450
917	4986	445
918	4992	439
919	4997	434
920	5003	429
921	5008	423
922	5014	418
923	5019	412
924	5024	407
925	5030	402
926	5035	396
927	5041	391
928	5046	385
929	5052	380
930	5057	374
931	5062	369
932	5068	363
933	5073	358
934	5078	353
935	5083	347
936	5089	342
937	5094	336
938	5099	331
939	5105	325
940	5110	320
941	5116	315
942	5121	309
943	5126	304
944	5132	298
945	5138	293
946	5143	287
947	5148	282
948	5153	276
949	5159	271
950	5164	266
951	5170	260
952	5175	255
953	5181	249
954	5186	244
955	5192	238
956	5197	233
957	5203	228
958	5208	222
959	5214	217
960	5220	211
961	5225	206
962	5231	200
963	5236	195
964	5241	190
965	5247	184
966	5252	179
967	5257	173
968	5263	168
969	5269	162
970	5274	157
971	5280	152
972	5285	146
973	5291	141
974	5296	135
975	5302	130
976	5307	124
977	5313	119
978	5318	114
979	5324	108
980	5329	103
981	5335	97
982	5340	92
983	5345	86
984	5350	81
985	5356	76
986	5361	70
987	5367	65
988	5372	59
989	5377	54
990	5383	48
991	5388	43
992	5393	38
993	5398	32
994	5404	27
995	5409	21
996	5415	16
997	5420	10
998	5425	5
999	5431	0
